id,starttime,endtime,volume,projectedflow,occupancy,averagespeed,rawintervalcount,partition_0,partition_1,partition_2
11373365:61:streams.metro.tmr.its,2020-09-10T13:30:00.000Z,2020-09-10T13:45:00.000Z,33,132,0,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T13:45:00.000Z,2020-09-10T14:00:00.000Z,33,132,0,87,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T14:00:00.000Z,2020-09-10T14:15:00.000Z,18,72,0,89,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T14:15:00.000Z,2020-09-10T14:30:00.000Z,28,112,0,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T14:30:00.000Z,2020-09-10T14:45:00.000Z,23,92,0,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T14:45:00.000Z,2020-09-10T15:00:00.000Z,11,44,0,94,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T15:00:00.000Z,2020-09-10T15:15:00.000Z,12,48,0,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T15:15:00.000Z,2020-09-10T15:30:00.000Z,13,52,0,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T15:30:00.000Z,2020-09-10T15:45:00.000Z,6,24,0,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T15:45:00.000Z,2020-09-10T16:00:00.000Z,8,32,0,92,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T16:00:00.000Z,2020-09-10T16:15:00.000Z,6,24,0,80,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T16:15:00.000Z,2020-09-10T16:30:00.000Z,11,44,0,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T16:30:00.000Z,2020-09-10T16:45:00.000Z,5,20,0,89,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T16:45:00.000Z,2020-09-10T17:00:00.000Z,9,36,0,88,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T17:00:00.000Z,2020-09-10T17:15:00.000Z,7,28,0,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T17:15:00.000Z,2020-09-10T17:30:00.000Z,9,36,0,86,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T17:30:00.000Z,2020-09-10T17:45:00.000Z,11,44,0,88,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T17:45:00.000Z,2020-09-10T18:00:00.000Z,8,32,0,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T18:00:00.000Z,2020-09-10T18:15:00.000Z,11,44,0,86,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T18:15:00.000Z,2020-09-10T18:30:00.000Z,25,100,0,88,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T18:30:00.000Z,2020-09-10T18:45:00.000Z,27,108,0,87,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T18:45:00.000Z,2020-09-10T19:00:00.000Z,30,120,0,89,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T19:00:00.000Z,2020-09-10T19:15:00.000Z,33,132,1,86,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T19:15:00.000Z,2020-09-10T19:30:00.000Z,63,252,2,88,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T19:30:00.000Z,2020-09-10T19:45:00.000Z,87,348,2,86,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T19:45:00.000Z,2020-09-10T20:00:00.000Z,86,344,2,86,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T20:00:00.000Z,2020-09-10T20:15:00.000Z,96,384,3,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T20:15:00.000Z,2020-09-10T20:30:00.000Z,104,416,3,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T20:30:00.000Z,2020-09-10T20:45:00.000Z,145,580,4,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T20:45:00.000Z,2020-09-10T21:00:00.000Z,131,524,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T21:00:00.000Z,2020-09-10T21:15:00.000Z,128,512,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T21:15:00.000Z,2020-09-10T21:30:00.000Z,149,596,4,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T21:30:00.000Z,2020-09-10T21:45:00.000Z,163,652,5,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T21:45:00.000Z,2020-09-10T22:00:00.000Z,125,500,4,81,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T22:00:00.000Z,2020-09-10T22:15:00.000Z,116,464,3,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T22:15:00.000Z,2020-09-10T22:30:00.000Z,141,564,4,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T22:30:00.000Z,2020-09-10T22:45:00.000Z,121,484,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T22:45:00.000Z,2020-09-10T23:00:00.000Z,124,496,3,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T23:00:00.000Z,2020-09-10T23:15:00.000Z,137,548,4,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T23:15:00.000Z,2020-09-10T23:30:00.000Z,113,452,3,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T23:30:00.000Z,2020-09-10T23:45:00.000Z,121,484,4,82,15,2020,9,10
